,Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume
0,1980-12-12,0.5133928656578064,0.515625,0.5133928656578064,0.5133928656578064,0.4067815542221069,117258400,,,,,,,,
1,1980-12-15,0.4888392984867096,0.4888392984867096,0.4866071343421936,0.4866071343421936,0.385558158159256,43971200,,,0.5133928656578064,-0.026785731315612793,-0.05217394534942055,117258400.0,-73287200.0,-0.6250059697215722
2,1980-12-16,0.453125,0.453125,0.4508928656578064,0.4508928656578064,0.3572602868080139,26432000,,,0.4866071343421936,-0.03571426868438721,-0.07339446169992259,43971200.0,-17539200.0,-0.39887926642893534
3,1980-12-17,0.4620535671710968,0.4642857015132904,0.4620535671710968,0.4620535671710968,0.3661033511161804,21610400,,,0.4508928656578064,0.011160701513290405,0.02475244645312391,26432000.0,-4821600.0,-0.1824152542372881
4,1980-12-18,0.4754464328289032,0.4776785671710968,0.4754464328289032,0.4754464328289032,0.3767151534557342,18362400,,,0.4620535671710968,0.013392865657806396,0.02898552594194581,21610400.0,-3248000.0,-0.15029800466442078
5,1980-12-19,0.5044642686843872,0.5066964030265808,0.5044642686843872,0.5044642686843872,0.3997070789337158,12157600,,,0.4754464328289032,0.02901783585548401,0.061032818529793254,18362400.0,-6204800.0,-0.3379078987496188
6,1980-12-22,0.5290178656578064,0.53125,0.5290178656578064,0.5290178656578064,0.4191618859767914,9340800,,,0.5044642686843872,0.02455359697341919,0.04867261865236472,12157600.0,-2816800.0,-0.2316904652233993
7,1980-12-23,0.5513392686843872,0.5535714030265808,0.5513392686843872,0.5513392686843872,0.4368479549884796,11737600,,,0.5290178656578064,0.02232140302658081,0.04219404386055148,9340800.0,2396800.0,0.25659472422062346
8,1980-12-24,0.5803571343421936,0.5825892686843872,0.5803571343421936,0.5803571343421936,0.4598398804664612,12000800,,,0.5513392686843872,0.029017865657806396,0.052631596017184146,11737600.0,263200.0,0.022423664122137366
9,1980-12-26,0.6339285969734192,0.6361607313156128,0.6339285969734192,0.6339285969734192,0.5022867918014526,13893600,,,0.5803571343421936,0.053571462631225586,0.09230775234967381,12000800.0,1892800.0,0.157722818478768
